"state","jurisdiction","fipscode","office","candidate","party","votes","totalvotes"
"AK","District 1",NA,"President","Darrell Castle","Constitution",73,6638
"AK","District 1",NA,"President","Hillary Clinton","Democrat",2573,6638
"AK","District 1",NA,"President","Rocky Roque de la Fuente",NA,28,6638
"AK","District 1",NA,"President","Gary Johnson","Libertarian",416,6638
"AK","District 1",NA,"President","Jill Stein","Green",143,6638
"AK","District 1",NA,"President","Donald Trump","Republican",3180,6638
"AK","District 1",NA,"President","Write-in","",225,6638
"AK","District 10",NA,"President","Darrell Castle","Constitution",107,9040
"AK","District 10",NA,"President","Hillary Clinton","Democrat",1808,9040
"AK","District 10",NA,"President","Rocky Roque de la Fuente",NA,23,9040
"AK","District 10",NA,"President","Gary Johnson","Libertarian",493,9040
"AK","District 10",NA,"President","Jill Stein","Green",135,9040
"AK","District 10",NA,"President","Donald Trump","Republican",6255,9040
"AK","District 10",NA,"President","Write-in","",219,9040
"AK","District 11",NA,"President","Darrell Castle","Constitution",77,9689
"AK","District 11",NA,"President","Hillary Clinton","Democrat",2142,9689
"AK","District 11",NA,"President","Rocky Roque de la Fuente",NA,37,9689
"AK","District 11",NA,"President","Gary Johnson","Libertarian",572,9689
"AK","District 11",NA,"President","Jill Stein","Green",124,9689
"AK","District 11",NA,"President","Donald Trump","Republican",6444,9689
"AK","District 11",NA,"President","Write-in","",293,9689
"AK","District 12",NA,"President","Darrell Castle","Constitution",76,9543
"AK","District 12",NA,"President","Hillary Clinton","Democrat",1928,9543
"AK","District 12",NA,"President","Rocky Roque de la Fuente",NA,30,9543
"AK","District 12",NA,"President","Gary Johnson","Libertarian",548,9543
"AK","District 12",NA,"President","Jill Stein","Green",98,9543
"AK","District 12",NA,"President","Donald Trump","Republican",6629,9543
"AK","District 12",NA,"President","Write-in","",234,9543
"AK","District 13",NA,"President","Darrell Castle","Constitution",50,6533
"AK","District 13",NA,"President","Hillary Clinton","Democrat",1684,6533
"AK","District 13",NA,"President","Rocky Roque de la Fuente",NA,16,6533
"AK","District 13",NA,"President","Gary Johnson","Libertarian",480,6533
"AK","District 13",NA,"President","Jill Stein","Green",81,6533
"AK","District 13",NA,"President","Donald Trump","Republican",4028,6533
"AK","District 13",NA,"President","Write-in","",194,6533
"AK","District 14",NA,"President","Darrell Castle","Constitution",72,10420
"AK","District 14",NA,"President","Hillary Clinton","Democrat",3043,10420
"AK","District 14",NA,"President","Rocky Roque de la Fuente",NA,37,10420
"AK","District 14",NA,"President","Gary Johnson","Libertarian",802,10420
"AK","District 14",NA,"President","Jill Stein","Green",103,10420
"AK","District 14",NA,"President","Donald Trump","Republican",5978,10420
"AK","District 14",NA,"President","Write-in","",385,10420
"AK","District 15",NA,"President","Darrell Castle","Constitution",49,4982
"AK","District 15",NA,"President","Hillary Clinton","Democrat",1828,4982
"AK","District 15",NA,"President","Rocky Roque de la Fuente",NA,27,4982
"AK","District 15",NA,"President","Gary Johnson","Libertarian",335,4982
"AK","District 15",NA,"President","Jill Stein","Green",85,4982
"AK","District 15",NA,"President","Donald Trump","Republican",2525,4982
"AK","District 15",NA,"President","Write-in","",133,4982
"AK","District 16",NA,"President","Darrell Castle","Constitution",67,7436
"AK","District 16",NA,"President","Hillary Clinton","Democrat",3294,7436
"AK","District 16",NA,"President","Rocky Roque de la Fuente",NA,27,7436
"AK","District 16",NA,"President","Gary Johnson","Libertarian",464,7436
"AK","District 16",NA,"President","Jill Stein","Green",157,7436
"AK","District 16",NA,"President","Donald Trump","Republican",3203,7436
"AK","District 16",NA,"President","Write-in","",224,7436
"AK","District 17",NA,"President","Darrell Castle","Constitution",69,6788
"AK","District 17",NA,"President","Hillary Clinton","Democrat",3290,6788
"AK","District 17",NA,"President","Rocky Roque de la Fuente",NA,35,6788
"AK","District 17",NA,"President","Gary Johnson","Libertarian",419,6788
"AK","District 17",NA,"President","Jill Stein","Green",146,6788
"AK","District 17",NA,"President","Donald Trump","Republican",2618,6788
"AK","District 17",NA,"President","Write-in","",211,6788
"AK","District 18",NA,"President","Darrell Castle","Constitution",38,7402
"AK","District 18",NA,"President","Hillary Clinton","Democrat",3909,7402
"AK","District 18",NA,"President","Rocky Roque de la Fuente",NA,25,7402
"AK","District 18",NA,"President","Gary Johnson","Libertarian",424,7402
"AK","District 18",NA,"President","Jill Stein","Green",136,7402
"AK","District 18",NA,"President","Donald Trump","Republican",2684,7402
"AK","District 18",NA,"President","Write-in","",186,7402
"AK","District 19",NA,"President","Darrell Castle","Constitution",73,4792
"AK","District 19",NA,"President","Hillary Clinton","Democrat",2669,4792
"AK","District 19",NA,"President","Rocky Roque de la Fuente",NA,28,4792
"AK","District 19",NA,"President","Gary Johnson","Libertarian",190,4792
"AK","District 19",NA,"President","Jill Stein","Green",105,4792
"AK","District 19",NA,"President","Donald Trump","Republican",1636,4792
"AK","District 19",NA,"President","Write-in","",91,4792
"AK","District 2",NA,"President","Darrell Castle","Constitution",58,5492
"AK","District 2",NA,"President","Hillary Clinton","Democrat",1585,5492
"AK","District 2",NA,"President","Rocky Roque de la Fuente",NA,20,5492
"AK","District 2",NA,"President","Gary Johnson","Libertarian",371,5492
"AK","District 2",NA,"President","Jill Stein","Green",94,5492
"AK","District 2",NA,"President","Donald Trump","Republican",3188,5492
"AK","District 2",NA,"President","Write-in","",176,5492
"AK","District 20",NA,"President","Darrell Castle","Constitution",50,7140
"AK","District 20",NA,"President","Hillary Clinton","Democrat",4151,7140
"AK","District 20",NA,"President","Rocky Roque de la Fuente",NA,22,7140
"AK","District 20",NA,"President","Gary Johnson","Libertarian",395,7140
"AK","District 20",NA,"President","Jill Stein","Green",134,7140
"AK","District 20",NA,"President","Donald Trump","Republican",2187,7140
"AK","District 20",NA,"President","Write-in","",201,7140
"AK","District 21",NA,"President","Darrell Castle","Constitution",43,8647
"AK","District 21",NA,"President","Hillary Clinton","Democrat",4224,8647
"AK","District 21",NA,"President","Rocky Roque de la Fuente",NA,29,8647
"AK","District 21",NA,"President","Gary Johnson","Libertarian",526,8647
"AK","District 21",NA,"President","Jill Stein","Green",134,8647
"AK","District 21",NA,"President","Donald Trump","Republican",3479,8647
"AK","District 21",NA,"President","Write-in","",212,8647
"AK","District 22",NA,"President","Darrell Castle","Constitution",47,8372
"AK","District 22",NA,"President","Hillary Clinton","Democrat",3270,8372
"AK","District 22",NA,"President","Rocky Roque de la Fuente",NA,40,8372
"AK","District 22",NA,"President","Gary Johnson","Libertarian",446,8372
"AK","District 22",NA,"President","Jill Stein","Green",121,8372
"AK","District 22",NA,"President","Donald Trump","Republican",4203,8372
"AK","District 22",NA,"President","Write-in","",245,8372
"AK","District 23",NA,"President","Darrell Castle","Constitution",69,6924
"AK","District 23",NA,"President","Hillary Clinton","Democrat",2894,6924
"AK","District 23",NA,"President","Rocky Roque de la Fuente",NA,31,6924
"AK","District 23",NA,"President","Gary Johnson","Libertarian",424,6924
"AK","District 23",NA,"President","Jill Stein","Green",108,6924
"AK","District 23",NA,"President","Donald Trump","Republican",3246,6924
"AK","District 23",NA,"President","Write-in","",152,6924
"AK","District 24",NA,"President","Darrell Castle","Constitution",58,9290
"AK","District 24",NA,"President","Hillary Clinton","Democrat",3578,9290
"AK","District 24",NA,"President","Rocky Roque de la Fuente",NA,20,9290
"AK","District 24",NA,"President","Gary Johnson","Libertarian",574,9290
"AK","District 24",NA,"President","Jill Stein","Green",118,9290
"AK","District 24",NA,"President","Donald Trump","Republican",4709,9290
"AK","District 24",NA,"President","Write-in","",233,9290
"AK","District 25",NA,"President","Darrell Castle","Constitution",67,8127
"AK","District 25",NA,"President","Hillary Clinton","Democrat",3378,8127
"AK","District 25",NA,"President","Rocky Roque de la Fuente",NA,31,8127
"AK","District 25",NA,"President","Gary Johnson","Libertarian",521,8127
"AK","District 25",NA,"President","Jill Stein","Green",121,8127
"AK","District 25",NA,"President","Donald Trump","Republican",3816,8127
"AK","District 25",NA,"President","Write-in","",193,8127
"AK","District 26",NA,"President","Darrell Castle","Constitution",65,8905
"AK","District 26",NA,"President","Hillary Clinton","Democrat",3374,8905
"AK","District 26",NA,"President","Rocky Roque de la Fuente",NA,26,8905
"AK","District 26",NA,"President","Gary Johnson","Libertarian",536,8905
"AK","District 26",NA,"President","Jill Stein","Green",108,8905
"AK","District 26",NA,"President","Donald Trump","Republican",4548,8905
"AK","District 26",NA,"President","Write-in","",248,8905
"AK","District 27",NA,"President","Darrell Castle","Constitution",66,8783
"AK","District 27",NA,"President","Hillary Clinton","Democrat",3729,8783
"AK","District 27",NA,"President","Rocky Roque de la Fuente",NA,38,8783
"AK","District 27",NA,"President","Gary Johnson","Libertarian",489,8783
"AK","District 27",NA,"President","Jill Stein","Green",139,8783
"AK","District 27",NA,"President","Donald Trump","Republican",4085,8783
"AK","District 27",NA,"President","Write-in","",237,8783
"AK","District 28",NA,"President","Darrell Castle","Constitution",61,11427
"AK","District 28",NA,"President","Hillary Clinton","Democrat",4749,11427
"AK","District 28",NA,"President","Rocky Roque de la Fuente",NA,29,11427
"AK","District 28",NA,"President","Gary Johnson","Libertarian",696,11427
"AK","District 28",NA,"President","Jill Stein","Green",143,11427
"AK","District 28",NA,"President","Donald Trump","Republican",5423,11427
"AK","District 28",NA,"President","Write-in","",326,11427
"AK","District 29",NA,"President","Darrell Castle","Constitution",85,9394
"AK","District 29",NA,"President","Hillary Clinton","Democrat",2101,9394
"AK","District 29",NA,"President","Rocky Roque de la Fuente",NA,34,9394
"AK","District 29",NA,"President","Gary Johnson","Libertarian",463,9394
"AK","District 29",NA,"President","Jill Stein","Green",136,9394
"AK","District 29",NA,"President","Donald Trump","Republican",6347,9394
"AK","District 29",NA,"President","Write-in","",228,9394
"AK","District 3",NA,"President","Darrell Castle","Constitution",109,7613
"AK","District 3",NA,"President","Hillary Clinton","Democrat",1241,7613
"AK","District 3",NA,"President","Rocky Roque de la Fuente",NA,23,7613
"AK","District 3",NA,"President","Gary Johnson","Libertarian",518,7613
"AK","District 3",NA,"President","Jill Stein","Green",98,7613
"AK","District 3",NA,"President","Donald Trump","Republican",5403,7613
"AK","District 3",NA,"President","Write-in","",221,7613
"AK","District 30",NA,"President","Darrell Castle","Constitution",87,8950
"AK","District 30",NA,"President","Hillary Clinton","Democrat",1816,8950
"AK","District 30",NA,"President","Rocky Roque de la Fuente",NA,28,8950
"AK","District 30",NA,"President","Gary Johnson","Libertarian",502,8950
"AK","District 30",NA,"President","Jill Stein","Green",128,8950
"AK","District 30",NA,"President","Donald Trump","Republican",6194,8950
"AK","District 30",NA,"President","Write-in","",195,8950
"AK","District 31",NA,"President","Darrell Castle","Constitution",104,10182
"AK","District 31",NA,"President","Hillary Clinton","Democrat",3466,10182
"AK","District 31",NA,"President","Rocky Roque de la Fuente",NA,32,10182
"AK","District 31",NA,"President","Gary Johnson","Libertarian",500,10182
"AK","District 31",NA,"President","Jill Stein","Green",252,10182
"AK","District 31",NA,"President","Donald Trump","Republican",5617,10182
"AK","District 31",NA,"President","Write-in","",211,10182
"AK","District 32",NA,"President","Darrell Castle","Constitution",83,7472
"AK","District 32",NA,"President","Hillary Clinton","Democrat",2701,7472
"AK","District 32",NA,"President","Rocky Roque de la Fuente",NA,39,7472
"AK","District 32",NA,"President","Gary Johnson","Libertarian",519,7472
"AK","District 32",NA,"President","Jill Stein","Green",177,7472
"AK","District 32",NA,"President","Donald Trump","Republican",3764,7472
"AK","District 32",NA,"President","Write-in","",189,7472
"AK","District 33",NA,"President","Darrell Castle","Constitution",99,9934
"AK","District 33",NA,"President","Hillary Clinton","Democrat",5978,9934
"AK","District 33",NA,"President","Rocky Roque de la Fuente",NA,32,9934
"AK","District 33",NA,"President","Gary Johnson","Libertarian",513,9934
"AK","District 33",NA,"President","Jill Stein","Green",306,9934
"AK","District 33",NA,"President","Donald Trump","Republican",2732,9934
"AK","District 33",NA,"President","Write-in","",274,9934
"AK","District 34",NA,"President","Darrell Castle","Constitution",99,9431
"AK","District 34",NA,"President","Hillary Clinton","Democrat",4220,9431
"AK","District 34",NA,"President","Rocky Roque de la Fuente",NA,46,9431
"AK","District 34",NA,"President","Gary Johnson","Libertarian",609,9431
"AK","District 34",NA,"President","Jill Stein","Green",229,9431
"AK","District 34",NA,"President","Donald Trump","Republican",3955,9431
"AK","District 34",NA,"President","Write-in","",273,9431
"AK","District 35",NA,"President","Darrell Castle","Constitution",148,9042
"AK","District 35",NA,"President","Hillary Clinton","Democrat",3749,9042
"AK","District 35",NA,"President","Rocky Roque de la Fuente",NA,63,9042
"AK","District 35",NA,"President","Gary Johnson","Libertarian",450,9042
"AK","District 35",NA,"President","Jill Stein","Green",278,9042
"AK","District 35",NA,"President","Donald Trump","Republican",4105,9042
"AK","District 35",NA,"President","Write-in","",249,9042
"AK","District 36",NA,"President","Darrell Castle","Constitution",110,8264
"AK","District 36",NA,"President","Hillary Clinton","Democrat",2693,8264
"AK","District 36",NA,"President","Rocky Roque de la Fuente",NA,37,8264
"AK","District 36",NA,"President","Gary Johnson","Libertarian",585,8264
"AK","District 36",NA,"President","Jill Stein","Green",173,8264
"AK","District 36",NA,"President","Donald Trump","Republican",4460,8264
"AK","District 36",NA,"President","Write-in","",206,8264
"AK","District 37",NA,"President","Darrell Castle","Constitution",118,5062
"AK","District 37",NA,"President","Hillary Clinton","Democrat",2421,5062
"AK","District 37",NA,"President","Rocky Roque de la Fuente",NA,34,5062
"AK","District 37",NA,"President","Gary Johnson","Libertarian",302,5062
"AK","District 37",NA,"President","Jill Stein","Green",92,5062
"AK","District 37",NA,"President","Donald Trump","Republican",1938,5062
"AK","District 37",NA,"President","Write-in","",157,5062
"AK","District 38",NA,"President","Darrell Castle","Constitution",310,5095
"AK","District 38",NA,"President","Hillary Clinton","Democrat",2758,5095
"AK","District 38",NA,"President","Rocky Roque de la Fuente",NA,36,5095
"AK","District 38",NA,"President","Gary Johnson","Libertarian",273,5095
"AK","District 38",NA,"President","Jill Stein","Green",263,5095
"AK","District 38",NA,"President","Donald Trump","Republican",1143,5095
"AK","District 38",NA,"President","Write-in","",312,5095
"AK","District 39",NA,"President","Darrell Castle","Constitution",301,5639
"AK","District 39",NA,"President","Hillary Clinton","Democrat",3142,5639
"AK","District 39",NA,"President","Rocky Roque de la Fuente",NA,39,5639
"AK","District 39",NA,"President","Gary Johnson","Libertarian",277,5639
"AK","District 39",NA,"President","Jill Stein","Green",101,5639
"AK","District 39",NA,"President","Donald Trump","Republican",1405,5639
"AK","District 39",NA,"President","Write-in","",374,5639
"AK","District 4",NA,"President","Darrell Castle","Constitution",97,9521
"AK","District 4",NA,"President","Hillary Clinton","Democrat",4162,9521
"AK","District 4",NA,"President","Rocky Roque de la Fuente",NA,26,9521
"AK","District 4",NA,"President","Gary Johnson","Libertarian",585,9521
"AK","District 4",NA,"President","Jill Stein","Green",237,9521
"AK","District 4",NA,"President","Donald Trump","Republican",4070,9521
"AK","District 4",NA,"President","Write-in","",344,9521
"AK","District 40",NA,"President","Darrell Castle","Constitution",265,4610
"AK","District 40",NA,"President","Hillary Clinton","Democrat",2338,4610
"AK","District 40",NA,"President","Rocky Roque de la Fuente",NA,42,4610
"AK","District 40",NA,"President","Gary Johnson","Libertarian",213,4610
"AK","District 40",NA,"President","Jill Stein","Green",93,4610
"AK","District 40",NA,"President","Donald Trump","Republican",1377,4610
"AK","District 40",NA,"President","Write-in","",282,4610
"AK","District 5",NA,"President","Darrell Castle","Constitution",71,7906
"AK","District 5",NA,"President","Hillary Clinton","Democrat",3187,7906
"AK","District 5",NA,"President","Rocky Roque de la Fuente",NA,20,7906
"AK","District 5",NA,"President","Gary Johnson","Libertarian",512,7906
"AK","District 5",NA,"President","Jill Stein","Green",178,7906
"AK","District 5",NA,"President","Donald Trump","Republican",3683,7906
"AK","District 5",NA,"President","Write-in","",255,7906
"AK","District 6",NA,"President","Darrell Castle","Constitution",137,8460
"AK","District 6",NA,"President","Hillary Clinton","Democrat",2536,8460
"AK","District 6",NA,"President","Rocky Roque de la Fuente",NA,24,8460
"AK","District 6",NA,"President","Gary Johnson","Libertarian",471,8460
"AK","District 6",NA,"President","Jill Stein","Green",125,8460
"AK","District 6",NA,"President","Donald Trump","Republican",4929,8460
"AK","District 6",NA,"President","Write-in","",238,8460
"AK","District 7",NA,"President","Darrell Castle","Constitution",97,8294
"AK","District 7",NA,"President","Hillary Clinton","Democrat",1510,8294
"AK","District 7",NA,"President","Rocky Roque de la Fuente",NA,27,8294
"AK","District 7",NA,"President","Gary Johnson","Libertarian",431,8294
"AK","District 7",NA,"President","Jill Stein","Green",102,8294
"AK","District 7",NA,"President","Donald Trump","Republican",5935,8294
"AK","District 7",NA,"President","Write-in","",192,8294
"AK","District 8",NA,"President","Darrell Castle","Constitution",100,8073
"AK","District 8",NA,"President","Hillary Clinton","Democrat",1218,8073
"AK","District 8",NA,"President","Rocky Roque de la Fuente",NA,27,8073
"AK","District 8",NA,"President","Gary Johnson","Libertarian",364,8073
"AK","District 8",NA,"President","Jill Stein","Green",88,8073
"AK","District 8",NA,"President","Donald Trump","Republican",6126,8073
"AK","District 8",NA,"President","Write-in","",150,8073
"AK","District 9",NA,"President","Darrell Castle","Constitution",111,8954
"AK","District 9",NA,"President","Hillary Clinton","Democrat",1843,8954
"AK","District 9",NA,"President","Rocky Roque de la Fuente",NA,31,8954
"AK","District 9",NA,"President","Gary Johnson","Libertarian",510,8954
"AK","District 9",NA,"President","Jill Stein","Green",135,8954
"AK","District 9",NA,"President","Donald Trump","Republican",6100,8954
"AK","District 9",NA,"President","Write-in","",224,8954
"AK","HD99 Fed Overseas Absentee",NA,"President","Darrell Castle","Constitution",0,342
"AK","HD99 Fed Overseas Absentee",NA,"President","Hillary Clinton","Democrat",274,342
"AK","HD99 Fed Overseas Absentee",NA,"President","Rocky Roque de la Fuente",NA,1,342
"AK","HD99 Fed Overseas Absentee",NA,"President","Gary Johnson","Libertarian",7,342
"AK","HD99 Fed Overseas Absentee",NA,"President","Jill Stein","Green",11,342
"AK","HD99 Fed Overseas Absentee",NA,"President","Donald Trump","Republican",40,342
"AK","HD99 Fed Overseas Absentee",NA,"President","Write-in","",9,342
"AL","Autauga",100100000,"President","Hillary Clinton","Democrat",5936,24973
"AL","Autauga",100100000,"President","Donald Trump","Republican",18172,24973
"AL","Autauga",100100000,"President","Write-in",NA,214,24973
"AL","Autauga",100100000,"President","Gary Johnson","Libertarian",546,24973
"AL","Autauga",100100000,"President","Jill Stein","Independent",105,24973
"AL","Baldwin",100300000,"President","Write-in",NA,954,95215
"AL","Baldwin",100300000,"President","Hillary Clinton","Democrat",18458,95215
"AL","Baldwin",100300000,"President","Donald Trump","Republican",72883,95215
"AL","Baldwin",100300000,"President","Gary Johnson","Libertarian",2464,95215
"AL","Baldwin",100300000,"President","Jill Stein","Independent",456,95215
"AL","Barbour",100500000,"President","Donald Trump","Republican",5454,10469
"AL","Barbour",100500000,"President","Hillary Clinton","Democrat",4871,10469
"AL","Barbour",100500000,"President","Gary Johnson","Libertarian",93,10469
"AL","Barbour",100500000,"President","Write-in",NA,33,10469
"AL","Barbour",100500000,"President","Jill Stein","Independent",18,10469
"AL","Bibb",100700000,"President","Hillary Clinton","Democrat",1874,8819
"AL","Bibb",100700000,"President","Gary Johnson","Libertarian",124,8819
"AL","Bibb",100700000,"President","Donald Trump","Republican",6738,8819
"AL","Bibb",100700000,"President","Write-in",NA,66,8819
"AL","Bibb",100700000,"President","Jill Stein","Independent",17,8819
"AL","Blount",100900000,"President","Jill Stein","Independent",89,25588
"AL","Blount",100900000,"President","Hillary Clinton","Democrat",2156,25588
"AL","Blount",100900000,"President","Donald Trump","Republican",22859,25588
"AL","Blount",100900000,"President","Write-in",NA,146,25588
"AL","Blount",100900000,"President","Gary Johnson","Libertarian",338,25588
"AL","Bullock",101100000,"President","Write-in",NA,8,4710
"AL","Bullock",101100000,"President","Hillary Clinton","Democrat",3530,4710
"AL","Bullock",101100000,"President","Donald Trump","Republican",1140,4710
"AL","Bullock",101100000,"President","Gary Johnson","Libertarian",22,4710
"AL","Bullock",101100000,"President","Jill Stein","Independent",10,4710
"AL","Butler",101300000,"President","Gary Johnson","Libertarian",65,8732
"AL","Butler",101300000,"President","Donald Trump","Republican",4901,8732
"AL","Butler",101300000,"President","Jill Stein","Independent",13,8732
"AL","Butler",101300000,"President","Write-in",NA,27,8732
"AL","Butler",101300000,"President","Hillary Clinton","Democrat",3726,8732
"AL","Calhoun",101500000,"President","Gary Johnson","Libertarian",1116,47864
"AL","Calhoun",101500000,"President","Jill Stein","Independent",262,47864
"AL","Calhoun",101500000,"President","Donald Trump","Republican",32865,47864
"AL","Calhoun",101500000,"President","Write-in",NA,379,47864
"AL","Calhoun",101500000,"President","Hillary Clinton","Democrat",13242,47864
"AL","Chambers",101700000,"President","Donald Trump","Republican",7843,13900
"AL","Chambers",101700000,"President","Jill Stein","Independent",44,13900
"AL","Chambers",101700000,"President","Hillary Clinton","Democrat",5784,13900
"AL","Chambers",101700000,"President","Gary Johnson","Libertarian",168,13900
"AL","Chambers",101700000,"President","Write-in",NA,61,13900
"AL","Cherokee",101900000,"President","Hillary Clinton","Democrat",1547,10733
"AL","Cherokee",101900000,"President","Write-in",NA,60,10733
"AL","Cherokee",101900000,"President","Donald Trump","Republican",8953,10733
"AL","Cherokee",101900000,"President","Gary Johnson","Libertarian",147,10733
"AL","Cherokee",101900000,"President","Jill Stein","Independent",26,10733
"AL","Chilton",102100000,"President","Write-in",NA,97,18369
"AL","Chilton",102100000,"President","Jill Stein","Independent",52,18369
"AL","Chilton",102100000,"President","Hillary Clinton","Democrat",2911,18369
"AL","Chilton",102100000,"President","Gary Johnson","Libertarian",228,18369
"AL","Chilton",102100000,"President","Donald Trump","Republican",15081,18369
"AL","Choctaw",102300000,"President","Jill Stein","Independent",6,7292
"AL","Choctaw",102300000,"President","Gary Johnson","Libertarian",52,7292
"AL","Choctaw",102300000,"President","Donald Trump","Republican",4106,7292
"AL","Choctaw",102300000,"President","Hillary Clinton","Democrat",3109,7292
"AL","Choctaw",102300000,"President","Write-in",NA,19,7292
"AL","Clarke",102500000,"President","Gary Johnson","Libertarian",99,13031
"AL","Clarke",102500000,"President","Jill Stein","Independent",17,13031
"AL","Clarke",102500000,"President","Donald Trump","Republican",7140,13031
"AL","Clarke",102500000,"President","Hillary Clinton","Democrat",5749,13031
"AL","Clarke",102500000,"President","Write-in",NA,26,13031
"AL","Clay",102700000,"President","Gary Johnson","Libertarian",93,6624
"AL","Clay",102700000,"President","Jill Stein","Independent",16,6624
"AL","Clay",102700000,"President","Donald Trump","Republican",5245,6624
"AL","Clay",102700000,"President","Hillary Clinton","Democrat",1237,6624
"AL","Clay",102700000,"President","Write-in",NA,33,6624
"AL","Cleburne",102900000,"President","Donald Trump","Republican",5764,6593
"AL","Cleburne",102900000,"President","Jill Stein","Independent",20,6593
"AL","Cleburne",102900000,"President","Gary Johnson","Libertarian",90,6593
"AL","Cleburne",102900000,"President","Write-in",NA,35,6593
"AL","Cleburne",102900000,"President","Hillary Clinton","Democrat",684,6593
"AL","Coffee",103100000,"President","Gary Johnson","Libertarian",396,20767
"AL","Coffee",103100000,"President","Jill Stein","Independent",104,20767
"AL","Coffee",103100000,"President","Write-in",NA,171,20767
"AL","Coffee",103100000,"President","Donald Trump","Republican",15875,20767
"AL","Coffee",103100000,"President","Hillary Clinton","Democrat",4221,20767
"AL","Colbert",103300000,"President","Jill Stein","Independent",107,24915
"AL","Colbert",103300000,"President","Gary Johnson","Libertarian",511,24915
"AL","Colbert",103300000,"President","Donald Trump","Republican",16746,24915
"AL","Colbert",103300000,"President","Write-in",NA,239,24915
"AL","Colbert",103300000,"President","Hillary Clinton","Democrat",7312,24915
"AL","Conecuh",103500000,"President","Jill Stein","Independent",10,6585
"AL","Conecuh",103500000,"President","Hillary Clinton","Democrat",3080,6585
"AL","Conecuh",103500000,"President","Gary Johnson","Libertarian",51,6585
"AL","Conecuh",103500000,"President","Write-in",NA,24,6585
"AL","Conecuh",103500000,"President","Donald Trump","Republican",3420,6585
"AL","Coosa",103700000,"President","Write-in",NA,22,5252
"AL","Coosa",103700000,"President","Hillary Clinton","Democrat",1782,5252
"AL","Coosa",103700000,"President","Jill Stein","Independent",14,5252
"AL","Coosa",103700000,"President","Gary Johnson","Libertarian",53,5252
"AL","Coosa",103700000,"President","Donald Trump","Republican",3381,5252
"AL","Covington",103900000,"President","Write-in",NA,67,15940
"AL","Covington",103900000,"President","Jill Stein","Independent",36,15940
"AL","Covington",103900000,"President","Hillary Clinton","Democrat",2387,15940
"AL","Covington",103900000,"President","Donald Trump","Republican",13267,15940
"AL","Covington",103900000,"President","Gary Johnson","Libertarian",183,15940
"AL","Crenshaw",104100000,"President","Write-in",NA,11,6267
"AL","Crenshaw",104100000,"President","Hillary Clinton","Democrat",1664,6267
"AL","Crenshaw",104100000,"President","Gary Johnson","Libertarian",65,6267
"AL","Crenshaw",104100000,"President","Donald Trump","Republican",4513,6267
"AL","Crenshaw",104100000,"President","Jill Stein","Independent",14,6267
"AL","Cullman",104300000,"President","Hillary Clinton","Democrat",3798,37873
"AL","Cullman",104300000,"President","Write-in",NA,265,37873
"AL","Cullman",104300000,"President","Jill Stein","Independent",134,37873
"AL","Cullman",104300000,"President","Donald Trump","Republican",32989,37873
"AL","Cullman",104300000,"President","Gary Johnson","Libertarian",687,37873
"AL","Dale",104500000,"President","Hillary Clinton","Democrat",4413,18749
"AL","Dale",104500000,"President","Write-in",NA,116,18749
"AL","Dale",104500000,"President","Jill Stein","Independent",62,18749
"AL","Dale",104500000,"President","Donald Trump","Republican",13808,18749
"AL","Dale",104500000,"President","Gary Johnson","Libertarian",350,18749
"AL","Dallas",104700000,"President","Hillary Clinton","Democrat",12836,18792
"AL","Dallas",104700000,"President","Write-in",NA,47,18792
"AL","Dallas",104700000,"President","Jill Stein","Independent",24,18792
"AL","Dallas",104700000,"President","Gary Johnson","Libertarian",96,18792
"AL","Dallas",104700000,"President","Donald Trump","Republican",5789,18792
"AL","DeKalb",104900000,"President","Jill Stein","Independent",152,25826
"AL","DeKalb",104900000,"President","Gary Johnson","Libertarian",458,25826
"AL","DeKalb",104900000,"President","Write-in",NA,189,25826
"AL","DeKalb",104900000,"President","Donald Trump","Republican",21405,25826
"AL","DeKalb",104900000,"President","Hillary Clinton","Democrat",3622,25826
"AL","Elmore",105100000,"President","Donald Trump","Republican",27634,37260
"AL","Elmore",105100000,"President","Gary Johnson","Libertarian",738,37260
"AL","Elmore",105100000,"President","Jill Stein","Independent",112,37260
"AL","Elmore",105100000,"President","Hillary Clinton","Democrat",8443,37260
"AL","Elmore",105100000,"President","Write-in",NA,333,37260
"AL","Escambia",105300000,"President","Hillary Clinton","Democrat",4605,14845
"AL","Escambia",105300000,"President","Gary Johnson","Libertarian",188,14845
"AL","Escambia",105300000,"President","Write-in",NA,80,14845
"AL","Escambia",105300000,"President","Donald Trump","Republican",9935,14845
"AL","Escambia",105300000,"President","Jill Stein","Independent",37,14845
"AL","Etowah",105500000,"President","Write-in",NA,370,44164
"AL","Etowah",105500000,"President","Hillary Clinton","Democrat",10442,44164
"AL","Etowah",105500000,"President","Jill Stein","Independent",164,44164
"AL","Etowah",105500000,"President","Donald Trump","Republican",32353,44164
"AL","Etowah",105500000,"President","Gary Johnson","Libertarian",835,44164
"AL","Fayette",105700000,"President","Write-in",NA,42,8249
"AL","Fayette",105700000,"President","Hillary Clinton","Democrat",1362,8249
"AL","Fayette",105700000,"President","Donald Trump","Republican",6712,8249
"AL","Fayette",105700000,"President","Jill Stein","Independent",24,8249
"AL","Fayette",105700000,"President","Gary Johnson","Libertarian",109,8249
"AL","Franklin",105900000,"President","Donald Trump","Republican",9466,12040
